"EntityId","NeId","NeAlias","NeType","EntityType","Time","Failure","C_Avg_Value","C_Max_Value","C_Min_Value","C_from0to5_Value","C_from5to10_Value","C_from10to15_Value","C_from15to20_Value","C_from20to25_Value","C_from25to30_Value","C_from30to35_Value","C_from35to40_Value","C_from40to45_Value","C_from45to50_Value","C_from50to55_Value","C_from55to60_Value","C_from60to65_Value","C_from65to70_Value","C_from70to75_Value","C_from75to80_Value","C_from80to85_Value","C_from85to90_Value","C_from90to95_Value","C_from95to100_Value","ElementID"
EN-0-16849-1-0-11-9-101-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:30:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-101-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:45:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-101-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-04 00:00:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-101-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:30:00.000,Success,184.0,4373.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-102-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:45:00.000,Success,195.0,5110.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-102-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-04 00:00:00.000,Success,0.0,374.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-102-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:30:00.000,Success,61.0,6647.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-103-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:45:00.000,Success,0.0,1.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-103-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-04 00:00:00.000,Success,1.0,311.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-103-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-104-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:30:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-104-0-0-0-0-35-0)
